Contiguous U.S. Extremes in Minimum Temperature (Step 2) Summer (June-August) 1910-2016
Date,Much Above Normal,Much Below Normal
1910,2.10,18.10
1911,3.40,10.30
1912,0.10,26.60
1913,3.20,12.10
1914,12.20,4.70
1915,0.60,49.00
1916,0.60,19.80
1917,1.50,37.50
1918,6.20,5.50
1919,6.30,11.10
1920,0.10,26.30
1921,20.50,1.90
1922,5.50,1.80
1923,2.90,12.40
1924,1.60,35.40
1925,4.70,0.70
1926,3.00,10.70
1927,0.30,38.20
1928,2.20,18.30
1929,0.90,21.20
1930,3.40,13.90
1931,13.70,4.70
1932,6.90,2.70
1933,11.70,1.90
1934,34.20,0.70
1935,1.80,3.50
1936,35.60,0.20
1937,13.30,0.50
1938,3.40,1.90
1939,1.60,2.60
1940,3.80,7.40
1941,10.00,11.10
1942,2.00,4.40
1943,22.10,11.30
1944,0.10,22.10
1945,0.20,18.00
1946,0.30,12.70
1947,0.80,9.80
1948,0.70,6.30
1949,14.40,5.60
1950,0.00,50.80
1951,2.50,16.10
1952,13.30,2.40
1953,6.90,5.30
1954,16.40,6.90
1955,9.40,11.10
1956,1.90,7.40
1957,0.90,2.90
1958,10.00,11.00
1959,5.50,0.50
1960,0.90,1.10
1961,18.70,23.00
1962,0.00,14.70
1963,8.00,14.30
1964,0.30,2.70
1965,0.00,18.00
1966,0.40,11.50
1967,4.10,31.90
1968,0.00,6.90
1969,1.10,1.40
1970,2.50,2.20
1971,0.70,2.00
1972,0.50,17.50
1973,7.60,10.10
1974,0.00,21.50
1975,0.60,11.40
1976,0.10,36.30
1977,11.80,0.10
1978,0.70,5.00
1979,0.00,11.10
1980,17.10,3.10
1981,9.30,0.30
1982,0.70,6.10
1983,17.90,2.30
1984,3.10,4.80
1985,0.80,11.70
1986,3.40,0.20
1987,9.50,2.30
1988,19.20,1.00
1989,1.70,4.60
1990,5.10,0.00
1991,12.80,1.30
1992,5.30,41.40
1993,9.00,19.70
1994,15.40,0.00
1995,19.50,3.80
1996,12.80,0.00
1997,1.30,2.20
1998,29.40,0.00
1999,7.90,0.70
2000,9.00,0.00
2001,14.50,0.00
2002,31.60,0.00
2003,30.60,0.00
2004,7.20,23.50
2005,29.70,0.10
2006,37.40,0.00
2007,35.40,0.20
2008,6.10,0.40
2009,8.70,6.70
2010,56.50,0.20
2011,58.10,0.40
2012,33.40,0.00
2013,39.50,0.00
2014,18.90,0.10
2015,40.90,0.00
2016,56.20,0.00
